Date,Result,Net P&L,Asset,Account,Direction,Contracts,Target Ticks,Stop Ticks,Strategy,Mental State,Notes
2025-12-18 12:00,SL,-251.20,MNQ,PERSONAL,Long,1,1504,500,Order Flow,Calm,""
2025-12-19 12:00,TP,28.80,MNQ,PERSONAL,Long,1,60,500,Order Flow,Calm,""
2025-12-22 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-22 12:00,TP,748.80,MNQ,PERSONAL,Long,1,1500,500,Order Flow,Calm,""
2025-12-24 12:00,TP,566.80,NQ,PERSONAL,Short,2,575,260,Order Flow,Anxiety,""
2025-12-24 12:00,TP,565.80,NQ,PERSONAL,Long,2,574,260,Order Flow,Calm,""
2025-12-25 12:00,TP,558.80,NQ,PERSONAL,Short,2,567,260,Order Flow,Anxiety,""
2025-12-26 12:00,TP,555.80,NQ,PERSONAL,Long,2,564,260,Order Flow,Calm,""
2025-12-26 12:00,TP,572.80,NQ,PERSONAL,Short,2,581,260,Order Flow,Calm,""
2025-12-27 12:00,TP,561.80,NQ,PERSONAL,Long,2,570,260,Order Flow,Calm,""
2025-12-27 12:00,TP,571.80,NQ,PERSONAL,Long,2,580,260,Order Flow,Calm,""
2025-12-28 12:00,TP,565.80,NQ,PERSONAL,Short,2,574,260,Order Flow,Calm,""
2025-12-28 12:00,TP,562.80,NQ,PERSONAL,Long,2,571,260,Order Flow,Calm,""
2025-12-29 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Calm,""
2025-12-30 12:00,SL,-270.20,NQ,PERSONAL,Long,2,600,262,Order Flow,Anxiety,""
2025-12-30 12:00,SL,-272.20,NQ,PERSONAL,Long,2,600,264,Order Flow,FOMO,""
2025-12-31 12:00,TP,748.80,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2025-12-31 12:00,SL,-269.20,NQ,PERSONAL,Long,2,600,261,Order Flow,Calm,""
2026-01-01 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-01 12:00,SL,-266.20,NQ,PERSONAL,Short,2,600,258,Order Flow,Calm,""
2026-01-02 12:00,SL,-274.20,NQ,PERSONAL,Long,2,600,266,Order Flow,Calm,""
2026-01-02 12:00,SL,-272.20,NQ,PERSONAL,Long,2,600,264,Order Flow,Calm,""
2026-01-03 12:00,SL,-266.20,NQ,PERSONAL,Short,2,600,258,Order Flow,Calm,""
2026-01-03 12:00,TP,557.80,NQ,PERSONAL,Long,2,566,260,Order Flow,FOMO,""
2026-01-04 12:00,SL,-266.20,NQ,PERSONAL,Long,2,600,258,Order Flow,Calm,""
2026-01-04 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Calm,""
2026-01-05 12:00,TP,559.80,NQ,PERSONAL,Short,2,568,260,Order Flow,Anxiety,""
2026-01-06 12:00,SL,-269.20,NQ,PERSONAL,Long,2,600,261,Order Flow,Calm,""
2026-01-06 12:00,SL,-273.20,NQ,PERSONAL,Long,2,600,265,Order Flow,FOMO,""
2026-01-07 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Anxiety,""
2026-01-07 12:00,TP,564.80,NQ,PERSONAL,Short,2,573,260,Order Flow,Anxiety,""
2026-01-08 12:00,SL,-272.20,NQ,PERSONAL,Short,2,600,264,Order Flow,Calm,""
2026-01-09 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-09 12:00,TP,565.80,NQ,PERSONAL,Long,2,574,260,Order Flow,Calm,""
2026-01-10 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-10 12:00,SL,-269.20,NQ,PERSONAL,Short,2,600,261,Order Flow,Anxiety,""
2026-01-11 12:00,SL,-266.20,NQ,PERSONAL,Long,2,600,258,Order Flow,Calm,""
2026-01-12 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-12 12:00,SL,-266.20,NQ,PERSONAL,Long,2,600,258,Order Flow,Calm,""
2026-01-13 12:00,TP,567.80,NQ,PERSONAL,Long,2,576,260,Order Flow,Calm,""
2026-01-13 12:00,TP,570.80,NQ,PERSONAL,Short,2,579,260,Order Flow,Anxiety,""
2026-01-14 12:00,TP,558.80,NQ,PERSONAL,Short,2,567,260,Order Flow,Anxiety,""
2026-01-14 12:00,TP,560.80,NQ,PERSONAL,Short,2,569,260,Order Flow,Anxiety,""
2026-01-15 12:00,SL,-268.20,NQ,PERSONAL,Short,2,600,260,Order Flow,Anxiety,""
2026-01-16 12:00,TP,572.80,NQ,PERSONAL,Short,2,581,260,Order Flow,Calm,""
2026-01-16 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-17 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-17 12:00,SL,-270.20,NQ,PERSONAL,Short,2,600,262,Order Flow,Calm,""
2026-01-18 12:00,TP,563.80,NQ,PERSONAL,Long,2,572,260,Order Flow,Anxiety,""
2026-01-19 12:00,SL,-271.20,NQ,PERSONAL,Short,2,600,263,Order Flow,Calm,""
2026-01-19 12:00,TP,558.80,NQ,PERSONAL,Short,2,567,260,Order Flow,Calm,""
2026-01-20 12:00,SL,-271.20,NQ,PERSONAL,Long,2,600,263,Order Flow,Anxiety,""
2026-01-20 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Anxiety,""
2026-01-21 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Calm,""
2026-01-22 12:00,SL,-268.20,NQ,PERSONAL,Long,2,600,260,Order Flow,Anxiety,""
2026-01-22 12:00,SL,-268.20,NQ,PERSONAL,Long,2,600,260,Order Flow,FOMO,""
2026-01-23 12:00,TP,558.80,NQ,PERSONAL,Long,2,567,260,Order Flow,Calm,""
2026-01-23 12:00,SL,-271.20,NQ,PERSONAL,Short,2,600,263,Order Flow,Anxiety,""
2026-01-24 12:00,SL,-271.20,NQ,PERSONAL,Short,2,600,263,Order Flow,Calm,""
2026-01-25 12:00,SL,-267.20,NQ,PERSONAL,Short,2,600,259,Order Flow,Calm,""
2026-01-25 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-01-26 12:00,SL,-268.20,NQ,PERSONAL,Long,2,600,260,Order Flow,Calm,""
2026-01-26 12:00,TP,563.80,NQ,PERSONAL,Long,2,572,260,Order Flow,Calm,""
2026-01-27 12:00,SL,-273.20,NQ,PERSONAL,Short,2,600,265,Order Flow,Calm,""
2026-01-28 12:00,TP,565.80,NQ,PERSONAL,Short,2,574,260,Order Flow,Calm,""
2026-01-28 12:00,SL,-267.20,NQ,PERSONAL,Short,2,600,259,Order Flow,Calm,""
2026-01-29 12:00,SL,-273.20,NQ,PERSONAL,Short,2,600,265,Order Flow,Calm,""
2026-01-29 12:00,SL,-269.20,NQ,PERSONAL,Long,2,600,261,Order Flow,FOMO,""
2026-01-30 12:00,TP,563.80,NQ,PERSONAL,Long,2,572,260,Order Flow,Anxiety,""
2026-01-30 12:00,TP,556.80,NQ,PERSONAL,Short,2,565,260,Order Flow,FOMO,""
2026-01-31 12:00,TP,560.80,NQ,PERSONAL,Short,2,569,260,Order Flow,Anxiety,""
2026-02-01 12:00,SL,-272.20,NQ,PERSONAL,Short,2,600,264,Order Flow,Anxiety,""
2026-02-01 12:00,SL,-273.20,NQ,PERSONAL,Long,2,600,265,Order Flow,Calm,""
2026-02-02 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Calm,""
2026-02-02 12:00,SL,-272.20,NQ,PERSONAL,Short,2,600,264,Order Flow,Calm,""
2026-02-03 12:00,SL,-266.20,NQ,PERSONAL,Long,2,600,258,Order Flow,Calm,""
2026-02-04 12:00,SL,-265.20,NQ,PERSONAL,Long,2,600,257,Order Flow,FOMO,""
2026-02-04 12:00,SL,-267.20,NQ,PERSONAL,Short,2,600,259,Order Flow,Calm,""
2026-02-05 12:00,TP,554.80,NQ,PERSONAL,Short,2,563,260,Order Flow,Calm,""
2026-02-05 12:00,SL,-273.20,NQ,PERSONAL,Long,2,600,265,Order Flow,Calm,""
2026-02-06 12:00,SL,-265.20,NQ,PERSONAL,Long,2,600,257,Order Flow,Calm,""
2026-02-06 12:00,SL,-269.20,NQ,PERSONAL,Long,2,600,261,Order Flow,Calm,""
2026-02-07 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,FOMO,""
2026-02-08 12:00,SL,-267.20,NQ,PERSONAL,Long,2,600,259,Order Flow,Calm,""
2026-02-08 12:00,SL,-266.20,NQ,PERSONAL,Long,2,600,258,Order Flow,FOMO,""
2026-02-09 12:00,SL,-267.20,NQ,PERSONAL,Short,2,600,259,Order Flow,Calm,""
2026-02-09 12:00,TP,555.80,NQ,PERSONAL,Long,2,564,260,Order Flow,Calm,""
2026-02-10 12:00,SL,-270.20,NQ,PERSONAL,Long,2,600,262,Order Flow,Anxiety,""
2026-02-10 12:00,SL,-270.20,NQ,PERSONAL,Long,2,600,262,Order Flow,Calm,""
2026-02-11 12:00,TP,553.80,NQ,PERSONAL,Short,2,562,260,Order Flow,Anxiety,""
2026-02-12 12:00,TP,565.80,NQ,PERSONAL,Short,2,574,260,Order Flow,Calm,""
2026-02-12 12:00,TP,561.80,NQ,PERSONAL,Short,2,570,260,Order Flow,Calm,""
2026-02-13 12:00,TP,557.80,NQ,PERSONAL,Long,2,566,260,Order Flow,Anxiety,""
2026-02-14 12:00,TP,563.80,NQ,PERSONAL,Long,2,572,260,Order Flow,Calm,""
2026-02-14 12:00,SL,-273.20,NQ,PERSONAL,Long,2,600,265,Order Flow,Calm,""
2026-02-15 12:00,TP,569.80,NQ,PERSONAL,Long,2,578,260,Order Flow,Anxiety,""
2026-02-15 12:00,SL,-267.20,NQ,PERSONAL,Long,2,600,259,Order Flow,Anxiety,""
2026-02-16 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,FOMO,""
2026-02-17 12:00,TP,567.80,NQ,PERSONAL,Long,2,576,260,Order Flow,Calm,""
2026-02-17 12:00,SL,-269.20,NQ,PERSONAL,Long,2,600,261,Order Flow,Calm,""
2026-02-18 12:00,TP,554.80,NQ,PERSONAL,Short,2,563,260,Order Flow,Anxiety,""
2026-02-18 12:00,SL,-273.20,NQ,PERSONAL,Short,2,600,265,Order Flow,Anxiety,""
2026-02-19 12:00,TP,566.80,NQ,PERSONAL,Long,2,575,260,Order Flow,Calm,""
2026-02-19 12:00,TP,569.80,NQ,PERSONAL,Long,2,578,260,Order Flow,Calm,""
2026-02-20 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Calm,""
2026-02-21 12:00,TP,567.80,NQ,PERSONAL,Long,2,576,260,Order Flow,Calm,""
2026-02-21 12:00,TP,571.80,NQ,PERSONAL,Short,2,580,260,Order Flow,Calm,""
2026-02-22 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Anxiety,""
2026-02-22 12:00,TP,556.80,NQ,PERSONAL,Long,2,565,260,Order Flow,Calm,""
2026-02-23 12:00,SL,-269.20,NQ,PERSONAL,Short,2,600,261,Order Flow,Calm,""
2026-02-23 12:00,SL,-268.20,NQ,PERSONAL,Short,2,600,260,Order Flow,Anxiety,""
2026-02-24 12:00,TP,570.80,NQ,PERSONAL,Long,2,579,260,Order Flow,Calm,""
2026-02-25 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Anxiety,""
2026-02-25 12:00,BE,-8.20,NQ,PERSONAL,Long,2,100,100,Order Flow,Anxiety,""
2026-02-26 12:00,TP,572.80,NQ,PERSONAL,Short,2,581,260,Order Flow,Anxiety,""
2026-02-26 12:00,TP,571.80,NQ,PERSONAL,Short,2,580,260,Order Flow,Calm,""
2026-02-27 12:00,SL,-274.20,NQ,PERSONAL,Short,2,600,266,Order Flow,Calm,""
2026-02-28 12:00,TP,559.80,NQ,PERSONAL,Long,2,568,260,Order Flow,Calm,""
2026-02-28 12:00,TP,557.80,NQ,PERSONAL,Long,2,566,260,Order Flow,Calm,""
2026-03-01 12:00,TP,555.80,NQ,PERSONAL,Long,2,564,260,Order Flow,Anxiety,""
2026-03-01 12:00,SL,-270.20,NQ,PERSONAL,Short,2,600,262,Order Flow,Calm,""
2026-03-02 12:00,SL,-268.20,NQ,PERSONAL,Long,2,600,260,Order Flow,Anxiety,""
2026-03-03 12:00,BE,-8.20,NQ,PERSONAL,Short,2,100,100,Order Flow,Calm,""
2026-03-03 12:00,SL,-268.20,NQ,PERSONAL,Short,2,600,260,Order Flow,Calm,""
2026-03-04 12:00,TP,554.80,NQ,PERSONAL,Long,2,563,260,Order Flow,Anxiety,""
2026-03-04 12:00,SL,-269.20,NQ,PERSONAL,Long,2,600,261,Order Flow,Calm,""
2026-03-05 12:00,TP,571.80,NQ,PERSONAL,Long,2,580,260,Order Flow,Calm,""
2026-03-06 12:00,SL,-274.20,NQ,PERSONAL,Long,2,600,266,Order Flow,Anxiety,""
2026-03-09 12:00,TP,886.80,MNQ,PERSONAL,Long,1,888,413,Order Flow,Calm,""
2026-03-09 12:00,TP,610.80,MNQ,PERSONAL,Long,1,612,204,Order Flow,Calm,""
2026-03-10 12:00,SL,-177.20,MNQ,PERSONAL,Long,1,527,176,Order Flow,Calm,""
2026-03-10 12:00,SL,-336.20,MNQ,PERSONAL,Long,1,1017,335,Order Flow,Calm,""
2026-03-11 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,950,322,Order Flow,Calm,""
2026-03-11 12:00,SL,-285.20,MNQ,PERSONAL,Short,1,849,284,Order Flow,Calm,""
2026-03-11 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,1092,364,Order Flow,Calm,""
2026-03-12 12:00,BE,-1.20,MNQ,PERSONAL,Short,1,0,0,Order Flow,Calm,""
2026-03-13 12:00,BE,-2.40,MNQ,PERSONAL,Long,2,0,0,Order Flow,Calm,""
2026-03-13 12:00,BE,-2.40,MNQ,PERSONAL,Long,2,0,0,Order Flow,Calm,""
2026-03-16 12:00,BE,-1.20,MNQ,PERSONAL,Long,1,380,212,Order Flow,Calm,""
2026-03-16 12:00,SL,-273.20,MNQ,PERSONAL,Long,1,808,272,Order Flow,Calm,""
2026-03-17 12:00,SL,-213.20,MNQ,PERSONAL,Long,1,380,212,Order Flow,Calm,""
2026-03-18 12:00,SL,-273.20,MNQ,PERSONAL,Short,1,520,272,Order Flow,Calm,""
2026-03-18 12:00,TP,514.80,MNQ,PERSONAL,Short,1,516,251,Order Flow,Calm,""
2026-03-19 12:00,SL,-534.20,MNQ,PERSONAL,Short,1,1533,533,Order Flow,Calm,""
2026-03-19 12:00,SL,-302.20,MNQ,PERSONAL,Short,1,903,301,Order Flow,Calm,""
2026-03-20 12:00,SL,-384.40,MNQ,PERSONAL,Short,2,504,382,Order Flow,Calm,""
2026-03-23 12:00,TP,811.80,MNQ,PERSONAL,Short,1,813,768,Order Flow,Calm,""
2026-03-24 12:00,SL,-169.40,MNQ,PERSONAL,Short,2,487,167,Order Flow,Calm,""
2026-03-24 12:00,SL,-246.40,MNQ,PERSONAL,Long,2,736,244,Order Flow,Calm,""
2026-03-24 12:00,SL,-100.20,MNQ,LIQUIDEZ 50K,Long,1,262,99,Liquidez,Calm,"SAco con mecha en Order block
"
2026-03-24 12:00,TP,330.60,MNQ,LIQUIDEZ 50K,Long,2,333,153,Liquidez,Calm,"Entre en order flow"
2026-03-25 12:00,SL,-156.40,MNQ,PERSONAL,Long,2,404,154,Order Flow,Calm,""
2026-03-25 12:00,SL,-81.20,MNQ,LIQUIDEZ 50K,Long,1,421,80,Liquidez,Calm,""
2026-03-25 12:00,TP,331.60,MNQ,LIQUIDEZ 50K,Short,2,334,119,Liquidez,Calm,"Me meti en un ORDER"
2026-03-25 12:00,SL,-108.20,MNQ,LIQUIDEZ 50K,Short,1,300,107,Liquidez,Calm,""
2026-03-25 12:00,SL,-158.40,MNQ,PERSONAL,Long,2,404,156,Order Flow,Calm,""
2026-03-26 12:00,TP,24.00,MNQ,PERSONAL,Long,30,4,8,Order Flow,Calm,""
2026-03-26 12:00,SL,-265.60,MNQ,PERSONAL,Long,8,96,64,Order Flow,Calm,""
2026-03-26 12:00,SL,-89.20,MNQ,LIQUIDEZ 50K,Short,1,284,88,Liquidez,Calm,""
2026-03-26 12:00,SL,-70.20,MNQ,LIQUIDEZ 50K,Short,1,188,69,Liquidez,Calm,""
2026-03-27 12:00,TP,398.80,MNQ,PERSONAL,Short,1,800,1000,Order Flow,Calm,""
2026-03-27 12:00,SL,-501.20,MNQ,PERSONAL,Short,1,0,1000,Order Flow,Calm,""
2026-03-30 12:00,SL,-53.00,MNQ,LIQUIDEZ 50K,Long,5,296,47,Liquidez,Calm,""
2026-03-30 12:00,SL,-79.60,MNQ,LIQUIDEZ 50K,Long,3,229,76,Liquidez,Calm,""
2026-03-30 12:00,TP,748.80,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2026-03-30 12:00,SL,-251.20,MNQ,PERSONAL,Short,1,1500,500,Order Flow,Calm,""
2026-03-30 12:00,SL,-141.20,MNQ,LIQUIDEZ 50K,Long,1,1100,280,Liquidez,Calm,""
2026-03-31 12:00,TP,76.80,MNQ,HARD SCALPING 50K,Long,1,156,400,HARD CALPING,Calm,""
2026-03-31 12:00,SL,-251.20,MNQ,HARD SCALPING 50K,Long,1,160,500,HARD CALPING,Calm,""
2026-03-31 12:00,TP,-0.20,MNQ,PERSONAL,Long,1,2,4,Order Flow,Calm,""
2026-03-31 12:00,TP,298.80,MNQ,PERSONAL,Long,1,600,200,Order Flow,Calm,"funciona"
2026-03-31 12:00,TP,669.90,MNQ,LIQUIDEZ 50K,Short,3,449,200,Liquidez,Calm,""
2026-03-31 12:00,TP,248.80,MNQ,HARD SCALPING 50K,Long,1,500,500,HARD CALPING,Calm,""
2026-04-01 12:00,TP,76.80,MNQ,HARD SCALPING 50K,Long,1,156,500,HARD CALPING,Calm,"TOME UN REVERSAL EN CONTRA TENDENCIA, ME METI EN FIBONACCI"
2026-04-01 12:00,TP,95.80,MNQ,HARD SCALPING 50K,Long,1,194,400,HARD CALPING,Calm,""
2026-04-01 12:00,SL,-199.20,MNQ,HARD SCALPING 50K,Long,1,1000,396,HARD CALPING,Calm,"Atraeso el lin REG  meti 3 entradas mas pero no funciono
"
2026-04-01 12:00,SL,-199.20,MNQ,HARD SCALPING 50K,Long,1,304,396,HARD CALPING,Calm,"Atraeso el lin REG  meti 3 entradas mas pero no funciono
"
2026-04-01 12:00,SL,-302.40,MNQ,LIQUIDEZ 50K,Short,2,600,300,Liquidez,Calm,""
2026-04-01 12:00,SL,-243.60,MNQ,PERSONAL,Short,3,480,160,Order Flow,Calm,""
2026-04-02 12:00,TP,356.40,MNQ,LIQUIDEZ 50K,Short,3,240,80,Liquidez,Calm,"Entro en un FVG de 5M"
2026-04-02 12:00,SL,-152.40,MNQ,HARD SCALPING 50K,Short,2,130,150,HARD CALPING,Calm,"Entro en un FVG de 5M"
2026-04-02 12:00,TP,359.80,MNQ,PERSONAL,Long,1,722,222,Order Flow,Calm,"Entro en un FVG de 5M"
2026-04-02 12:00,TP,398.80,MNQ,PERSONAL,Long,1,800,380,Order Flow,Calm,"Llego a un FVG y bajo
"
2026-04-06 12:00,SL,-190.40,MNQ,TOPSTEP 50K,Short,2,566,188,Order Flow,Calm,"Toco una zona de liquidez"
2026-04-07 12:00,BE,-1.20,MNQ,TOPSTEP 50K,Short,1,1000,340,Order Flow,Calm,"Toco un ORDER BLOCK"
2026-04-07 12:00,BE,-1.20,MNQ,TOPSTEP 50K,Short,1,720,240,Order Flow,Calm,"Toco un ORDER BLOCK  y subio"
2026-04-08 12:00,TP,450.60,MNQ,TOPSTEP 50K,Long,2,453,148,Order Flow,Calm,""
2026-04-08 12:00,SL,-137.40,MNQ,TOPSTEP 50K,Short,2,337,135,Order Flow,Calm,""
